example_id                                                               | status  | run_time        |
./spec/models/bulkrax/csv_entry_spec.rb[1:4:4:1:1]                       | passed  | 0.38266 seconds |
./spec/models/bulkrax/csv_entry_spec.rb[1:4:4:2:1]                       | passed  | 0.41194 seconds |
./spec/models/bulkrax/csv_entry_spec.rb[1:4:4:3:1]                       | passed  | 0.37058 seconds |
./spec/models/bulkrax/csv_entry_spec.rb[1:4:5:1]                         | passed  | 0.36985 seconds |
./spec/models/bulkrax/csv_entry_spec.rb[1:4:6:1]                         | passed  | 0.40959 seconds |
./spec/models/bulkrax/csv_entry_spec.rb[1:4:7:1]                         | passed  | 0.37506 seconds |
./spec/models/bulkrax/csv_entry_spec.rb[1:4:8:1]                         | passed  | 0.37418 seconds |
./spec/models/bulkrax/csv_entry_spec.rb[1:4:9:1]                         | passed  | 0.37371 seconds |
./spec/models/bulkrax/csv_entry_spec.rb[1:4:10:1]                        | passed  | 0.37572 seconds |
./spec/models/bulkrax/csv_entry_spec.rb[1:4:11:1]                        | passed  | 0.37774 seconds |
./spec/models/bulkrax/csv_entry_spec.rb[1:4:12:1]                        | passed  | 0.37721 seconds |
./spec/models/bulkrax/csv_entry_spec.rb[1:4:13:1]                        | passed  | 0.37297 seconds |
./spec/models/bulkrax/csv_entry_spec.rb[1:5:1:1]                         | passed  | 0.17939 seconds |
./spec/models/bulkrax/csv_entry_spec.rb[1:5:2:1]                         | passed  | 0.18447 seconds |
./spec/models/bulkrax/csv_entry_spec.rb[1:5:3:1]                         | passed  | 0.17796 seconds |
./spec/models/bulkrax/csv_entry_spec.rb[1:5:4:1]                         | passed  | 0.17854 seconds |
./spec/models/bulkrax/csv_entry_spec.rb[1:5:5:1]                         | passed  | 0.17771 seconds |
./spec/models/bulkrax/csv_entry_spec.rb[1:5:6:1]                         | passed  | 0.17821 seconds |
./spec/models/bulkrax/csv_entry_spec.rb[1:5:7:1]                         | passed  | 0.17633 seconds |
./spec/models/bulkrax/csv_entry_spec.rb[1:6:1]                           | passed  | 0.17029 seconds |
./spec/models/bulkrax/csv_entry_spec.rb[1:6:2:1]                         | passed  | 0.17665 seconds |
./spec/models/bulkrax/csv_entry_spec.rb[1:6:2:2]                         | passed  | 0.16942 seconds |
./spec/models/bulkrax/csv_entry_spec.rb[1:6:3:1:1]                       | passed  | 0.1705 seconds  |
./spec/models/bulkrax/csv_entry_spec.rb[1:6:3:2:1]                       | passed  | 0.16991 seconds |
./spec/models/bulkrax/csv_entry_spec.rb[1:6:3:2:2]                       | passed  | 0.16977 seconds |
./spec/models/bulkrax/csv_entry_spec.rb[1:6:3:2:3:1]                     | passed  | 0.1696 seconds  |
./spec/models/bulkrax/csv_entry_spec.rb[1:7:1:1]                         | passed  | 0.1714 seconds  |
./spec/models/bulkrax/csv_entry_spec.rb[1:7:2:1]                         | passed  | 0.17175 seconds |
./spec/models/bulkrax/csv_entry_spec.rb[1:7:2:2:1:1]                     | passed  | 0.17439 seconds |
./spec/models/bulkrax/csv_entry_spec.rb[1:7:2:3:1]                       | passed  | 0.17071 seconds |
./spec/models/bulkrax/csv_entry_spec.rb[1:7:3:1]                         | passed  | 0.17059 seconds |
./spec/models/bulkrax/csv_entry_spec.rb[1:7:3:2]                         | passed  | 0.17049 seconds |
./spec/models/bulkrax/csv_entry_spec.rb[1:7:3:3:1:1]                     | passed  | 0.17449 seconds |
./spec/models/bulkrax/csv_entry_spec.rb[1:7:3:4:1]                       | passed  | 0.17368 seconds |
./spec/models/bulkrax/csv_entry_spec.rb[1:8:1:1]                         | passed  | 0.16929 seconds |
./spec/models/bulkrax/csv_entry_spec.rb[1:8:1:2:1]                       | passed  | 0.17029 seconds |
./spec/models/bulkrax/csv_entry_spec.rb[1:8:1:3:1]                       | passed  | 0.16909 seconds |
./spec/models/bulkrax/csv_entry_spec.rb[1:9:1:1]                         | passed  | 0.16884 seconds |
./spec/models/bulkrax/csv_entry_spec.rb[1:9:2:1]                         | passed  | 0.1709 seconds  |
./spec/models/bulkrax/csv_entry_spec.rb[1:10:1]                          | passed  | 0.01689 seconds |
./spec/models/bulkrax/csv_entry_spec.rb[1:11:1]                          | passed  | 0.01824 seconds |
./spec/models/bulkrax/csv_entry_spec.rb[1:12:1:1]                        | passed  | 0.00103 seconds |
